Transaction_ID,Date,Region,Product,Quantity,Unit_Price,Total_Amount,Currency,Customer_ID
34,2023-02-27,West,Tablet,8,483,3864,USD,C0106
35,2023-11-16,East,Headphones,10,1148,11480,INR,C0705
36,2023-07-04,East,Monitor,2,807,1614,GBP,C0030
37,2023-06-29,West,Phone,5,1961,9805,JPY,C0621
38,2023-05-21,West,Laptop,5,286,1430,JPY,C0918
39,2023-04-02,Central,Tablet,1,1307,1307,EUR,C0406
40,2023-06-07,South,Monitor,7,674,4718,AUD,C0640
41,2023-02-04,West,Phone,4,1490,5960,INR,C0161
42,2023-12-09,South,Laptop,4,1888,7552,JPY,C0567
43,2023-09-15,North,Headphones,5,630,3150,JPY,C0449
44,2023-11-17,North,Laptop,7,1077,7539,EUR,C0967
45,2023-05-07,North,Laptop,4,252,1008,JPY,C0204
46,2023-08-20,Central,Phone,9,950,8550,USD,C0762
47,2023-02-23,North,Phone,6,1248,7488,USD,C0376
48,2023-06-04,Central,Tablet,4,846,3384,USD,C0918
49,2023-06-24,West,Monitor,7,172,1204,AUD,C0257
50,2023-03-24,South,Smartwatch,10,1412,14120,INR,C0644
51,2023-11-23,East,Tablet,4,1504,6016,AUD,C0800
52,2023-03-02,West,Smartwatch,5,1809,9045,JPY,C0168
53,2023-12-27,East,Smartwatch,10,297,2970,USD,C0450
54,2023-05-18,East,Tablet,1,693,693,JPY,C0947
55,2023-06-21,East,Headphones,7,1611,11277,EUR,C0925
56,2023-12-16,Central,Phone,5,1489,7445,USD,C0830
57,2023-05-14,West,Headphones,2,466,932,JPY,C0924
58,2023-06-05,Central,Monitor,9,623,5607,INR,C0228
59,2023-07-16,West,Monitor,4,156,624,USD,C0781
60,2023-01-11,East,Tablet,6,1062,6372,INR,C0808
61,2023-06-10,East,Smartwatch,6,1333,7998,EUR,C0167
62,2023-12-30,West,Tablet,1,1137,1137,JPY,C0101
63,2023-10-18,East,Tablet,9,1229,11061,AUD,C0416
64,2023-02-02,North,Smartwatch,6,1558,9348,INR,C0928
65,2023-02-04,South,Laptop,7,1773,12411,EUR,C0396
66,2023-03-05,East,Headphones,9,275,2475,AUD,C0686
67,2023-03-14,East,Monitor,10,1308,13080,EUR,C0099
68,2023-08-12,West,Headphones,2,473,946,JPY,C0199
69,2023-05-21,East,Headphones,2,1214,2428,GBP,C0157
70,2023-01-26,Central,Headphones,8,458,3664,AUD,C0429
71,2023-04-12,Central,Headphones,10,523,5230,AUD,C0693
72,2023-03-20,East,Monitor,4,650,2600,INR,C0390
73,2023-07-11,East,Laptop,7,1651,11557,AUD,C0770
74,2023-10-16,East,Laptop,8,1526,12208,GBP,C0197
75,2023-12-30,North,Monitor,2,354,708,AUD,C0780
76,2023-03-12,North,Phone,9,580,5220,AUD,C0162
77,2023-06-09,Central,Laptop,6,733,4398,USD,C0022
78,2023-11-03,South,Monitor,9,320,2880,JPY,C0383
79,2023-07-17,North,Phone,3,822,2466,AUD,C0163
80,2023-10-23,East,Monitor,1,221,221,USD,C0135
81,2023-09-08,North,Phone,7,548,3836,INR,C0019
82,2023-12-24,West,Smartwatch,6,1853,11118,GBP,C0342
83,2023-11-09,South,Monitor,4,654,2616,INR,C0669
84,2023-09-30,Central,Smartwatch,7,192,1344,GBP,C0591
85,2023-11-17,West,Smartwatch,8,1298,10384,GBP,C0861
86,2023-09-19,North,Smartwatch,8,1191,9528,EUR,C0606
87,2023-03-31,Central,Laptop,7,1843,12901,EUR,C0355
88,2023-04-27,West,Laptop,6,1223,7338,JPY,C0131
89,2023-01-25,North,Smartwatch,3,758,2274,USD,C0832
90,2023-07-20,South,Headphones,10,1738,17380,AUD,C0052
91,2023-12-05,West,Tablet,8,1933,15464,INR,C0469
92,2023-09-14,West,Tablet,2,1298,2596,AUD,C0597
93,2023-10-16,East,Tablet,1,1142,1142,EUR,C0947
94,2023-04-02,Central,Monitor,6,1373,8238,AUD,C0349
95,2023-04-02,Central,Smartwatch,5,1736,8680,JPY,C0683
96,2023-11-26,North,Headphones,7,1603,11221,USD,C0422
97,2023-12-31,North,Monitor,8,1315,10520,GBP,C0593
98,2023-09-10,East,Laptop,4,1387,5548,USD,C0310
99,2023-12-10,East,Monitor,2,315,630,USD,C0904
100,2023-07-09,South,Headphones,10,196,1960,EUR,C0947
101,2023-05-07,East,Tablet,7,390,2730,INR,C0669
102,2023-11-06,Central,Laptop,1,825,825,GBP,C0095
103,2023-07-11,Central,Phone,4,1326,5304,EUR,C0906
104,2023-12-04,North,Monitor,3,444,1332,GBP,C0272
105,2023-01-09,South,Tablet,9,235,2115,EUR,C0834
106,2023-01-18,Central,Phone,4,187,748,JPY,C0636
107,2023-07-14,South,Tablet,10,510,5100,GBP,C0850
108,2023-06-02,South,Monitor,9,1412,12708,INR,C0398
109,2023-12-19,South,Tablet,7,1212,8484,USD,C0728
110,2023-09-26,Central,Tablet,6,148,888,AUD,C0100
111,2023-07-28,Central,Laptop,9,1825,16425,JPY,C0770
112,2023-02-07,North,Phone,10,670,6700,GBP,C0418
113,2023-02-22,South,Headphones,10,1779,17790,JPY,C0997
114,2023-02-19,South,Tablet,10,202,2020,INR,C0906
115,2023-01-30,West,Smartwatch,8,1943,15544,INR,C0131
116,2023-08-22,West,Phone,2,1855,3710,EUR,C0587
117,2023-03-09,South,Headphones,6,186,1116,AUD,C0012
118,2023-08-01,Central,Headphones,3,1102,3306,AUD,C0562
119,2023-04-21,West,Smartwatch,10,1020,10200,GBP,C0029
120,2023-09-14,West,Smartwatch,5,142,710,USD,C0545
121,2023-05-26,North,Tablet,3,255,765,AUD,C0541
122,2023-02-01,Central,Tablet,3,886,2658,EUR,C0575
123,2023-10-28,South,Monitor,9,727,6543,AUD,C0484
124,2023-10-19,North,Tablet,8,184,1472,USD,C0398
125,2023-07-11,Central,Monitor,3,961,2883,EUR,C0846
126,2023-08-06,West,Headphones,5,639,3195,JPY,C0662
127,2023-06-05,South,Headphones,8,1609,12872,JPY,C0846
128,2023-03-01,West,Phone,4,863,3452,JPY,C0787
129,2023-06-07,Central,Headphones,4,1830,7320,GBP,C0696
130,2023-12-03,South,Tablet,2,1670,3340,GBP,C0150
131,2023-12-20,West,Smartwatch,7,1332,9324,EUR,C0253
132,2023-08-13,East,Monitor,10,1599,15990,USD,C0621
133,2023-10-23,Central,Headphones,2,1557,3114,USD,C0731
134,2023-10-29,West,Phone,2,151,302,EUR,C0825
135,2023-10-07,East,Phone,6,1803,10818,GBP,C0016
136,2023-09-06,South,Tablet,7,108,756,AUD,C0716
137,2023-10-19,West,Phone,8,520,4160,USD,C0928
138,2023-10-17,West,Headphones,9,264,2376,JPY,C0720
139,2023-02-13,Central,Smartwatch,9,1545,13905,USD,C0247
140,2023-08-09,North,Smartwatch,10,1448,14480,INR,C0353
141,2024-01-01,North,Laptop,8,556,4448,GBP,C0138
142,2023-12-06,East,Monitor,2,1495,2990,USD,C0044
143,2023-10-27,Central,Laptop,9,1368,12312,AUD,C0618
144,2023-06-01,North,Tablet,7,236,1652,INR,C0536
145,2023-05-20,Central,Headphones,6,1561,9366,USD,C0999
146,2023-07-01,South,Headphones,8,1577,12616,USD,C0305
147,2023-11-30,East,Tablet,8,1627,13016,EUR,C0862
148,2023-03-25,South,Laptop,3,350,1050,AUD,C0734
149,2023-06-28,West,Laptop,8,1719,13752,EUR,C0286
150,2023-04-07,West,Phone,9,1093,9837,AUD,C0199
151,2023-01-17,North,Smartwatch,3,908,2724,EUR,C0554
152,2023-04-26,Central,Smartwatch,1,923,923,JPY,C0171
153,2023-11-23,South,Monitor,4,1701,6804,GBP,C0414
154,2023-12-11,South,Laptop,6,742,4452,GBP,C0669
155,2023-06-22,South,Monitor,3,1476,4428,USD,C0609
156,2023-08-12,West,Tablet,10,1957,19570,INR,C0326
157,2023-07-14,Central,Smartwatch,6,1878,11268,USD,C0131
158,2023-10-10,North,Phone,3,432,1296,JPY,C0129
159,2023-10-17,South,Monitor,9,742,6678,INR,C0023
160,2023-03-10,Central,Tablet,10,1321,13210,INR,C0533
161,2023-05-26,West,Monitor,7,1665,11655,GBP,C0632
162,2023-11-05,South,Phone,10,1065,10650,EUR,C0282
163,2023-05-07,East,Laptop,3,1682,5046,JPY,C0213
164,2023-08-03,Central,Smartwatch,5,1634,8170,AUD,C0179
165,2023-02-09,North,Tablet,6,231,1386,EUR,C0772
166,2023-04-19,North,Smartwatch,5,410,2050,JPY,C0628
167,2023-09-15,North,Monitor,4,646,2584,JPY,C0332
168,2023-09-19,North,Phone,3,1612,4836,GBP,C0567
169,2023-11-22,North,Smartwatch,8,1239,9912,INR,C0859
170,2023-12-27,West,Phone,3,273,819,INR,C0068
171,2023-09-08,East,Tablet,10,741,7410,EUR,C0672
172,2023-10-08,South,Phone,3,1153,3459,GBP,C0723
173,2023-01-20,South,Headphones,1,446,446,EUR,C0889
174,2023-09-14,West,Tablet,2,496,992,GBP,C0457
175,2023-07-02,South,Laptop,3,291,873,AUD,C0018
176,2023-12-12,West,Phone,5,1526,7630,JPY,C0350
177,2023-02-11,North,Headphones,3,1024,3072,EUR,C0391
178,2023-11-16,East,Headphones,5,533,2665,EUR,C0493
179,2023-04-25,West,Smartwatch,6,791,4746,USD,C0120
180,2023-11-13,Central,Headphones,8,1663,13304,JPY,C0947
181,2023-11-02,South,Smartwatch,3,453,1359,INR,C0389
182,2023-11-15,West,Headphones,7,237,1659,AUD,C0044
183,2023-08-16,East,Smartwatch,7,727,5089,AUD,C0112
184,2023-09-28,East,Smartwatch,2,934,1868,INR,C0146
185,2023-08-05,East,Phone,8,774,6192,JPY,C0946
186,2023-10-08,East,Monitor,1,1417,1417,AUD,C0143
187,2023-10-19,North,Laptop,3,1553,4659,JPY,C0725
188,2023-10-10,West,Phone,6,1577,9462,AUD,C0980
189,2023-05-17,Central,Monitor,10,687,6870,JPY,C0032
190,2023-06-17,Central,Phone,2,866,1732,EUR,C0221
191,2023-06-30,Central,Laptop,3,1353,4059,EUR,C0195
192,2023-06-25,West,Smartwatch,7,294,2058,INR,C0064
193,2023-03-07,East,Monitor,9,1139,10251,EUR,C0102
194,2023-09-11,South,Monitor,8,956,7648,USD,C0690
195,2023-11-08,West,Laptop,4,734,2936,EUR,C0115
196,2023-03-05,West,Smartwatch,10,1057,10570,EUR,C0608
197,2023-02-01,East,Monitor,2,675,1350,EUR,C0110
198,2023-04-23,North,Headphones,1,152,152,INR,C0497
199,2023-10-24,South,Headphones,5,1160,5800,AUD,C0403
200,2023-06-04,North,Headphones,4,1494,5976,USD,C0797
201,2023-12-28,East,Monitor,3,425,1275,EUR,C0440
202,2023-05-19,South,Headphones,1,584,584,JPY,C0328
203,2023-09-28,North,Headphones,10,768,7680,AUD,C0670
204,2023-04-14,North,Smartwatch,8,1860,14880,GBP,C0680
205,2023-06-03,Central,Monitor,8,799,6392,AUD,C0369
206,2023-10-28,East,Monitor,2,457,914,GBP,C0675
207,2023-06-23,North,Tablet,4,1097,4388,INR,C0682
208,2023-12-26,East,Tablet,6,596,3576,EUR,C0068
209,2023-04-18,South,Headphones,6,1664,9984,AUD,C0765
210,2023-08-30,North,Laptop,5,1326,6630,GBP,C0855
211,2023-07-30,South,Laptop,6,577,3462,INR,C0393
212,2023-05-01,Central,Headphones,3,1706,5118,EUR,C0916
213,2023-10-18,North,Phone,4,1467,5868,INR,C0334
214,2023-05-15,East,Phone,5,1461,7305,USD,C0311
215,2023-12-09,South,Smartwatch,9,557,5013,EUR,C0456
216,2023-09-10,Central,Monitor,10,810,8100,USD,C0020
217,2023-05-06,West,Headphones,2,1653,3306,EUR,C0929
218,2023-04-29,North,Phone,10,1568,15680,AUD,C0386
219,2023-01-22,North,Phone,9,270,2430,AUD,C0745
220,2023-03-16,North,Headphones,3,377,1131,EUR,C0413
221,2023-05-16,West,Smartwatch,7,197,1379,INR,C0753
222,2023-05-04,North,Smartwatch,3,351,1053,USD,C0067
223,2023-01-08,North,Laptop,8,897,7176,USD,C0582
224,2023-12-08,West,Tablet,6,1230,7380,USD,C0185
225,2023-01-06,North,Tablet,9,909,8181,USD,C0678
226,2023-12-08,South,Laptop,7,873,6111,EUR,C0730
227,2023-10-11,Central,Laptop,7,332,2324,EUR,C0358
228,2023-06-30,North,Monitor,10,462,4620,INR,C0291
229,2023-09-16,North,Laptop,10,459,4590,USD,C0566
230,2023-01-03,South,Monitor,4,1554,6216,AUD,C0762
231,2023-12-09,South,Tablet,6,224,1344,JPY,C0851
232,2023-10-09,South,Monitor,7,1151,8057,USD,C0471
233,2023-03-11,West,Laptop,2,1933,3866,USD,C0685
234,2023-04-29,West,Phone,10,1139,11390,INR,C0745
235,2023-06-06,East,Laptop,6,1902,11412,USD,C0702
236,2023-12-14,South,Phone,3,262,786,AUD,C0535
237,2023-03-20,West,Phone,10,1925,19250,JPY,C0842
238,2023-05-22,East,Headphones,5,753,3765,JPY,C0117
239,2023-04-28,North,Tablet,7,1082,7574,GBP,C0935
240,2023-12-10,West,Headphones,6,1335,8010,GBP,C0965
241,2023-12-16,East,Phone,9,488,4392,GBP,C0982
242,2023-10-02,North,Laptop,5,1351,6755,JPY,C0706
243,2023-12-17,Central,Phone,2,437,874,AUD,C0984
244,2023-11-04,South,Monitor,3,778,2334,INR,C0231
245,2023-06-09,Central,Laptop,2,976,1952,GBP,C0081
246,2023-07-14,South,Smartwatch,3,1044,3132,JPY,C0535
247,2023-11-22,Central,Monitor,3,1632,4896,JPY,C0411
248,2023-08-01,Central,Headphones,10,149,1490,AUD,C0379
249,2023-01-06,South,Headphones,4,528,2112,EUR,C0629
250,2023-04-10,West,Monitor,1,1510,1510,EUR,C0489
251,2023-11-10,South,Monitor,7,1785,12495,USD,C0642
252,2023-08-20,South,Monitor,4,414,1656,INR,C0045
253,2023-11-11,Central,Smartwatch,5,1018,5090,GBP,C0493
254,2023-01-07,South,Tablet,1,106,106,GBP,C0155
255,2023-05-01,East,Monitor,6,288,1728,GBP,C0959
256,2023-05-28,East,Headphones,3,372,1116,INR,C0496
257,2023-07-11,North,Laptop,8,774,6192,EUR,C0568
258,2023-05-06,North,Phone,3,1771,5313,EUR,C0020
259,2023-12-24,North,Tablet,10,1467,14670,AUD,C0241
260,2023-10-01,Central,Headphones,1,175,175,AUD,C0384
261,2023-10-26,South,Phone,4,1419,5676,USD,C0359
262,2023-11-07,West,Monitor,7,1180,8260,INR,C0723
263,2023-02-06,West,Smartwatch,3,1725,5175,INR,C0985
264,2023-10-16,Central,Tablet,8,256,2048,AUD,C0298
265,2023-05-03,South,Laptop,10,1103,11030,EUR,C0565
266,2023-01-14,West,Tablet,1,385,385,GBP,C0235
267,2023-12-03,East,Laptop,9,1570,14130,JPY,C0860
268,2023-04-13,East,Headphones,7,1273,8911,GBP,C0055
269,2023-02-03,North,Laptop,7,856,5992,GBP,C0905
270,2023-02-21,East,Phone,9,1688,15192,EUR,C0083
271,2023-01-02,South,Laptop,5,1181,5905,INR,C0756
272,2023-03-09,West,Laptop,6,763,4578,JPY,C0821
273,2023-11-22,Central,Smartwatch,8,795,6360,EUR,C0511
274,2023-07-13,East,Laptop,5,1019,5095,USD,C0037
275,2023-01-11,West,Smartwatch,5,643,3215,JPY,C0672
276,2023-04-17,West,Tablet,7,259,1813,EUR,C0734
277,2023-06-06,West,Smartwatch,4,1758,7032,USD,C0437
278,2023-11-25,Central,Monitor,5,1548,7740,EUR,C0061
279,2023-03-26,West,Smartwatch,1,1262,1262,GBP,C0342
280,2023-01-22,South,Headphones,5,1092,5460,GBP,C0162
281,2023-02-08,Central,Headphones,2,1337,2674,INR,C0749
282,2023-01-17,South,Headphones,6,1967,11802,INR,C0297
283,2023-05-06,West,Tablet,2,1858,3716,INR,C0004
284,2023-06-27,Central,Headphones,8,1586,12688,INR,C0821
285,2023-11-12,South,Monitor,7,1842,12894,INR,C0867
286,2023-02-17,Central,Laptop,4,1230,4920,JPY,C0105
287,2023-02-24,South,Headphones,3,303,909,AUD,C0578
288,2023-01-04,South,Monitor,8,1936,15488,JPY,C0539
289,2023-10-09,East,Phone,4,924,3696,EUR,C0442
290,2023-06-22,East,Smartwatch,10,1192,11920,INR,C0561
291,2023-05-22,South,Monitor,7,1072,7504,USD,C0054
292,2023-08-09,South,Tablet,7,1624,11368,INR,C0736
293,2023-12-26,South,Monitor,7,1454,10178,GBP,C0844
294,2023-07-23,Central,Phone,5,1631,8155,EUR,C0184
295,2023-01-06,Central,Tablet,5,1492,7460,USD,C0030
296,2023-05-30,Central,Monitor,7,355,2485,GBP,C0525
297,2023-09-07,West,Smartwatch,4,559,2236,EUR,C0616
298,2023-03-29,North,Headphones,10,179,1790,EUR,C0574
299,2023-03-12,North,Phone,6,1275,7650,GBP,C0689
300,2023-09-19,West,Tablet,9,296,2664,EUR,C0652
301,2023-04-14,North,Phone,4,1772,7088,AUD,C0942
302,2023-08-30,Central,Headphones,2,1980,3960,GBP,C0653
303,2023-09-19,South,Phone,4,1276,5104,AUD,C0149
304,2023-07-26,East,Laptop,7,475,3325,GBP,C0994
305,2023-12-21,East,Smartwatch,1,1910,1910,EUR,C0356
306,2023-02-22,East,Laptop,6,231,1386,AUD,C0164
307,2023-12-21,West,Headphones,1,901,901,INR,C0734
308,2023-06-10,South,Tablet,2,383,766,INR,C0910
309,2023-06-03,Central,Phone,3,201,603,JPY,C0681
310,2023-09-24,South,Monitor,5,1937,9685,USD,C0819
311,2023-01-23,North,Headphones,2,440,880,GBP,C0477
312,2023-04-27,North,Smartwatch,3,770,2310,AUD,C0356
313,2023-02-28,South,Headphones,8,1410,11280,JPY,C0912
314,2023-01-17,North,Tablet,3,411,1233,AUD,C0196
315,2023-12-10,North,Monitor,5,213,1065,GBP,C0667
316,2023-06-09,West,Laptop,6,1399,8394,AUD,C0338
317,2023-05-03,South,Headphones,3,1436,4308,JPY,C0213
318,2023-10-19,West,Phone,3,815,2445,USD,C0396
319,2023-12-01,North,Phone,2,1961,3922,USD,C0358
320,2023-02-09,South,Monitor,1,1583,1583,INR,C0415
321,2023-03-05,South,Laptop,3,514,1542,EUR,C0732
322,2023-06-16,Central,Phone,6,1902,11412,AUD,C0812
323,2023-08-06,Central,Laptop,5,1616,8080,AUD,C0829
324,2023-11-04,East,Monitor,1,1709,1709,JPY,C0013
325,2023-10-28,Central,Tablet,1,334,334,EUR,C0202
326,2023-09-17,East,Smartwatch,5,316,1580,INR,C0324
327,2023-10-13,Central,Phone,7,862,6034,AUD,C0375
328,2023-07-06,South,Laptop,8,329,2632,AUD,C0635
329,2023-01-29,East,Laptop,3,1730,5190,JPY,C0181
330,2023-05-18,Central,Monitor,10,103,1030,INR,C0909
331,2023-03-17,North,Monitor,7,883,6181,INR,C0583
332,2023-01-28,West,Tablet,10,1367,13670,USD,C0934
333,2023-06-12,South,Tablet,3,1021,3063,GBP,C0397
334,2023-04-12,Central,Tablet,7,623,4361,AUD,C0918
335,2023-11-18,Central,Phone,2,1046,2092,EUR,C0845
336,2023-08-27,West,Laptop,3,709,2127,AUD,C0015
337,2023-04-24,West,Headphones,10,1731,17310,INR,C0281
338,2023-11-14,North,Monitor,4,828,3312,GBP,C0125
339,2023-12-11,West,Monitor,3,1364,4092,JPY,C0919
340,2023-10-18,Central,Headphones,8,1129,9032,AUD,C0745
341,2023-01-24,West,Tablet,7,542,3794,INR,C0071
342,2023-04-23,East,Smartwatch,1,1272,1272,JPY,C0868
343,2023-08-22,Central,Tablet,1,290,290,INR,C0560
344,2023-02-13,South,Smartwatch,4,1314,5256,AUD,C0992
345,2023-01-03,North,Tablet,1,1300,1300,JPY,C0421
346,2023-05-03,North,Laptop,3,1297,3891,GBP,C0581
347,2023-04-11,West,Laptop,3,862,2586,INR,C0538
348,2023-05-22,Central,Phone,3,1846,5538,GBP,C0219
349,2023-08-26,North,Headphones,10,350,3500,JPY,C0133
350,2023-07-12,Central,Tablet,10,149,1490,AUD,C0529
351,2023-02-15,West,Phone,4,1431,5724,INR,C0627
352,2023-02-06,East,Phone,6,1308,7848,EUR,C0458
353,2023-01-04,West,Headphones,6,1589,9534,USD,C0166
354,2023-12-24,North,Monitor,3,1281,3843,USD,C0621
355,2023-11-29,East,Phone,5,804,4020,USD,C0316
356,2023-08-31,West,Tablet,8,930,7440,EUR,C0718
357,2023-03-01,East,Monitor,8,1978,15824,JPY,C0698
358,2023-02-03,Central,Phone,1,909,909,JPY,C0874
359,2023-08-14,South,Headphones,5,212,1060,AUD,C0807
360,2023-10-26,Central,Tablet,5,770,3850,GBP,C0044
361,2023-08-24,North,Phone,10,1860,18600,AUD,C0172
362,2023-01-24,East,Headphones,2,1274,2548,INR,C0448
363,2023-06-27,South,Tablet,8,1895,15160,INR,C0982
364,2023-02-18,West,Phone,4,1991,7964,GBP,C0846
365,2023-03-13,North,Phone,7,545,3815,EUR,C0687
366,2023-10-06,Central,Phone,7,959,6713,INR,C0565
367,2023-05-06,South,Tablet,10,529,5290,USD,C0485
368,2023-03-15,North,Smartwatch,3,546,1638,GBP,C0069
369,2023-12-13,Central,Smartwatch,2,712,1424,USD,C0897
370,2023-08-01,East,Tablet,8,1900,15200,EUR,C0544
371,2023-06-25,West,Headphones,2,169,338,USD,C0157
372,2023-04-29,Central,Monitor,8,1729,13832,JPY,C0701
373,2023-10-18,West,Tablet,2,1973,3946,EUR,C0965
374,2023-06-19,North,Monitor,1,327,327,INR,C0107
375,2023-02-28,Central,Monitor,5,1027,5135,EUR,C0232
376,2023-09-27,South,Laptop,8,1492,11936,EUR,C0949
377,2023-06-07,Central,Smartwatch,7,415,2905,JPY,C0046
378,2023-11-19,South,Smartwatch,6,446,2676,EUR,C0834
379,2023-05-07,South,Headphones,2,1051,2102,JPY,C0192
380,2023-03-21,Central,Phone,9,1220,10980,JPY,C0487
381,2023-01-13,North,Monitor,7,1325,9275,INR,C0006
382,2023-08-02,West,Smartwatch,8,916,7328,GBP,C0578
383,2023-05-19,Central,Headphones,2,1931,3862,INR,C0255
384,2023-11-16,East,Headphones,4,346,1384,INR,C0782
385,2023-12-10,South,Phone,3,1357,4071,GBP,C0048
386,2023-01-28,North,Phone,9,1031,9279,USD,C0902
387,2023-12-13,West,Tablet,5,1812,9060,JPY,C0388
388,2023-03-07,West,Smartwatch,2,555,1110,JPY,C0496
389,2023-03-09,North,Smartwatch,2,1303,2606,JPY,C0449
390,2023-10-14,East,Smartwatch,6,924,5544,EUR,C0544
391,2023-04-26,Central,Phone,2,273,546,INR,C0569
392,2023-01-01,South,Headphones,2,694,1388,EUR,C0499
393,2023-02-02,North,Headphones,8,556,4448,EUR,C0382
394,2023-08-29,West,Headphones,5,186,930,EUR,C0808
395,2023-03-24,East,Smartwatch,3,735,2205,GBP,C0642
396,2023-04-19,West,Tablet,3,1396,4188,USD,C0660
397,2023-07-13,East,Phone,9,1927,17343,AUD,C0529
398,2023-04-27,East,Monitor,10,1178,11780,JPY,C0136
399,2023-10-16,West,Headphones,5,108,540,JPY,C0526
400,2023-07-09,West,Headphones,2,1952,3904,USD,C0694
401,2023-07-07,West,Phone,9,1347,12123,JPY,C0732
402,2023-05-28,West,Smartwatch,10,1863,18630,USD,C0097
403,2023-03-05,South,Tablet,4,122,488,INR,C0239
404,2023-09-19,North,Laptop,9,664,5976,AUD,C0130
405,2023-05-28,South,Laptop,3,1868,5604,INR,C0449
406,2023-10-13,South,Headphones,5,293,1465,EUR,C0912
407,2023-08-29,West,Laptop,1,1612,1612,USD,C0349
408,2023-02-28,Central,Headphones,10,148,1480,GBP,C0565
409,2023-01-14,East,Phone,6,1034,6204,JPY,C0190
410,2023-02-21,West,Tablet,8,342,2736,GBP,C0287
411,2023-06-25,Central,Laptop,8,1668,13344,INR,C0969
412,2023-09-06,South,Smartwatch,1,1725,1725,JPY,C0425
413,2023-11-30,Central,Tablet,8,1836,14688,INR,C0972
414,2023-02-04,West,Headphones,4,348,1392,GBP,C0562
415,2023-06-02,Central,Phone,3,1384,4152,USD,C0971
416,2023-05-17,West,Phone,2,327,654,AUD,C0492
417,2023-10-13,East,Smartwatch,4,668,2672,GBP,C0032
418,2023-11-04,East,Headphones,4,414,1656,JPY,C0724
419,2023-10-13,Central,Laptop,8,1201,9608,USD,C0419
420,2023-03-14,West,Headphones,2,1664,3328,EUR,C0465
421,2023-05-27,North,Laptop,2,1521,3042,GBP,C0670
422,2023-09-02,Central,Laptop,10,1215,12150,AUD,C0256
423,2023-01-10,South,Laptop,2,1657,3314,INR,C0509
424,2023-02-08,South,Phone,4,1754,7016,JPY,C0315
425,2023-02-20,West,Headphones,8,1588,12704,EUR,C0590
426,2023-11-01,South,Tablet,4,634,2536,USD,C0932
427,2023-08-21,South,Tablet,2,540,1080,GBP,C0495
428,2023-12-24,North,Phone,8,887,7096,INR,C0819
429,2023-04-05,South,Phone,4,297,1188,INR,C0812
430,2023-01-20,South,Phone,7,785,5495,AUD,C0179
431,2023-05-14,West,Smartwatch,1,998,998,GBP,C0946
432,2023-11-27,East,Tablet,6,1806,10836,USD,C0627
433,2023-08-21,West,Smartwatch,9,1700,15300,AUD,C0766
434,2023-05-09,West,Phone,1,1672,1672,EUR,C0311
435,2023-05-30,North,Smartwatch,4,1023,4092,EUR,C0139
436,2023-10-09,Central,Headphones,7,290,2030,AUD,C0199
437,2023-01-22,Central,Monitor,2,502,1004,USD,C0470
438,2023-01-28,South,Headphones,8,248,1984,EUR,C0326
439,2023-06-01,East,Headphones,1,343,343,AUD,C0192
440,2023-01-08,West,Monitor,9,400,3600,INR,C0374
441,2023-05-03,North,Headphones,10,1042,10420,JPY,C0434
442,2023-07-27,South,Phone,10,898,8980,INR,C0704
